Full Stack Development,Kotresh H M,Bangalore,"₹ 10,000-15,000 /month"
Artificial Intelligence (AI),Kotresh H M,Bangalore,"₹ 10,000-15,000 /month"
Full Stack Development,Edvanta Technologies,Noida,"₹ 7,500-15,000 /month"
Leetcode Python Tutor,Narigiri's Connect To Universe Private Limited,Work from home,"₹ 10,000 /month"
Full stack web developer,DevTown,Work from home,"₹ 40,000 /month"
Chromium C/C++ Development,Arakoo.ai,Work from home,"₹ 25,000-30,000 /month"
MERN Stack Web Development,Requin Solutions Private Limited,Jaipur,"₹ 10,000 /month"
Front End Development,S7works,Work from home,"₹ 12,000 /month"
Flutter Development,Ostello India Private Limited,Work from home,"₹ 8,000-15,000 /month"
Full Stack Development,Saurabh Bhoy,Work from home,"₹ 10,000 /month"
Flutter Developer,Blowhorn,Bangalore,"₹ 15,000 /month"
WordPress Development,OyeLabs,Work from home,"₹ 5,000-10,000 /month"
Web Development,Rentkar-Switch To Share,Mumbai,"₹ 12,000-14,000 /month"
Software Development,"Olive Intelligence (New York, United States)",Work from home,"₹ 15,000-50,000 /month"
Computer Vision,"Yonder Wonder AI (Boston, United States)",Work from home,"₹ 10,000-20,000 /month"
Rust Developer,Codezero2pi Solution (OPC) Private Limited,Work from home,"₹ 12,000 /month"
Backend Development,Sanskar Udyog,Indore,"₹ 10,000 /month"
job_role,company_name,location,stipend
Flutter Development,Verdant Info Comm Systems,Work from home,"₹ 12,000 /month"
Software Development,Verdant Info Comm Systems,Work from home,"₹ 10,000 /month"
Software Testing,Verdant Info Comm Systems,Work from home,"₹ 12,000 /month"
Full Stack Development,Targetgrid,Work from home,"₹ 10,000-13,000 /month"
React Native Developer,Blackcoffer,Work from home,"₹ 10,000-15,000 /month"
Game Development,Nihal Software,Gurgaon,"₹ 5,000-15,000 /month"
Node.js Development,Codezero2pi Solution (OPC) Private Limited,Work from home,"₹ 12,000 /month"
Reactjs Development,Codezero2pi Solution (OPC) Private Limited,Work from home,"₹ 12,000 /month"
Flutter Development,CipherSchools,Work from home,"₹ 15,000-20,000 /month"
Webflow Design,FlytBase Labs,Pune,"₹ 15,000-30,000 /month"
Business Analyst/Product Management Intern,Bynry Services Private Limited,Pune,"₹ 10,000 /month"
Reactjs Development,"Shopvana (Austin, United States)",Work from home,$ 150-200 /month
Computer Vision (Python),Wobot Intelligence Private Limited,Work from home,"₹ 12,500 /month"
Front End Development,Stacks (Techaboard Digi Solutions Private Limited),Work from home,"₹ 15,000 /month"
Webflow (Website Development),Codezero2pi Solution (OPC) Private Limited,Work from home,"₹ 15,000 /month"
Artificial Intelligence (AI),Ostello India Private Limited,Work from home,"₹ 8,000-12,000 /month"
iOS App Development,Quantum IT,Work from home,"₹ 10,000-20,000 /month"
Mobile App Development,Gester,Work from home,"₹ 3,000-15,000 /month"
Internet Of Things (IoT),Aviraj Infotech Private Limited,Pithoragarh,"₹ 5,000-10,000 /month"
WordPress Development,Gururo,Vadodara,"₹ 5,000-15,000 /month"
Reactjs Development,Smart Prepper,Work from home,"₹ 10,000-20,000 /month"
Generative AI Machine Learning,Arakoo.ai,Delhi,"₹ 20,000-30,000 /month"
Frontend Development,BlueInvent Technologies Pvt. Ltd.,Noida,"₹ 10,000-15,000 /month"
School Robotics Trainer,Sarga Additive Manufacturing Private Limited,Navi Mumbai,"₹ 10,000-15,000 /month"
